# xs, ys, ls, ks
3.832256222875459736e-06,9.000024544127823711e-01,1.862862101742323251e+00,8.322886110490986811e-01
3.843304537364442653e-06,9.000024941196994588e-01,1.864691006302275911e+00,8.324046680370567053e-01
3.854384703912877042e-06,9.000025339218018505e-01,1.866521707207460690e+00,8.325207159171598148e-01
3.865496814349585077e-06,9.000025738193018210e-01,1.868354204834132393e+00,8.326367546157841248e-01
3.876640960768127386e-06,9.000026138124124220e-01,1.870188499659921399e+00,8.327527840574995288e-01
3.887817235527568771e-06,9.000026539013468163e-01,1.872024592262639509e+00,8.328688041650419427e-01
3.899025731253244766e-06,9.000026940863188329e-01,1.873862483318973204e+00,8.329848148594278801e-01
3.910266540837526514e-06,9.000027343675426339e-01,1.875702173603056799e+00,8.331008160599759904e-01
3.921539757440590719e-06,9.000027747452331583e-01,1.877543663984929889e+00,8.332168076843250448e-01
3.932845474491196373e-06,9.000028152196053455e-01,1.879386955428872019e+00,8.333327896485789310e-01
3.944183785687452169e-06,9.000028557908751337e-01,1.881232048991604788e+00,8.334487618672598019e-01
3.955554784997598311e-06,9.000028964592585723e-01,1.883078945820370276e+00,8.335647242534230950e-01
3.966958566660783247e-06,9.000029372249722659e-01,1.884927647150871577e+00,8.336806767186933920e-01
3.978395225187843783e-06,9.000029780882332631e-01,1.886778154305074562e+00,8.337966191733346966e-01
3.989864855362091977e-06,9.000030190492592785e-01,1.888630468688872410e+00,8.339125515262997279e-01
4.001367552240102881e-06,9.000030601082683601e-01,1.890484591789598046e+00,8.340284736852847658e-01
4.012903411152476869e-06,9.000031012654788887e-01,1.892340525173389132e+00,8.341443855568377863e-01
4.024472527704673118e-06,9.000031425211100222e-01,1.894198270482404522e+00,8.342602870463443621e-01
4.036074997777769399e-06,9.000031838753810298e-01,1.896057829431873731e+00,8.343761780581712140e-01
4.047710917529270142e-06,9.000032253285120687e-01,1.897919203806989863e+00,8.344920584957173926e-01
4.059380383393897568e-06,9.000032668807235181e-01,1.899782395459632900e+00,8.346079282614259354e-01
4.071083492084393828e-06,9.000033085322360904e-01,1.901647406304922905e+00,8.347237872569495121e-01
4.082820340592321448e-06,9.000033502832721632e-01,1.903514240696569049e+00,8.348396353439377915e-01
4.094591026188868014e-06,9.000033921340614418e-01,1.905382919136931141e+00,8.349554721194195617e-01
4.106395646425653391e-06,9.000034340848267478e-01,1.907253445250271628e+00,8.350712974606464556e-01
4.118234299135532712e-06,9.000034761357896818e-01,1.909125818312325640e+00,8.351871113164305305e-01
4.130107082433415455e-06,9.000035182871720663e-01,1.911000037714055688e+00,8.353029136333887106e-01
4.142014094717072674e-06,9.000035605391965010e-01,1.912876102961550195e+00,8.354187043560505899e-01
4.153955434667952681e-06,9.000036028920859188e-01,1.914754013675834976e+00,8.355344834267885989e-01
4.165931201252002676e-06,9.000036453460640296e-01,1.916633769592605896e+00,8.356502507859399076e-01
4.177941493720485283e-06,9.000036879013546542e-01,1.918515370561866940e+00,8.357660063717793353e-01
4.189986411610802715e-06,9.000037305581823910e-01,1.920398816547480347e+00,8.358817501205701994e-01
4.202066054747320936e-06,9.000037733167723930e-01,1.922284107626623051e+00,8.359974819666380341e-01
4.214180523242208223e-06,9.000038161773501466e-01,1.924171243989144964e+00,8.361132018423448331e-01
